Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Wolbachia endosymbiont (group E) of Neria commutata			3066149	idNerComm1.Wolbachia_sp_1.1	GCF_964026735.1	RefSeq	GCF_964026735.1-RS_2024_04_19	Complete Genome	1361155	1361155	2024-04-20	1442	PRJEB74835	SAMEA114449906
Wolbachia endosymbiont (group A) of Cydia strobilella			3066170	ilCydStro3.Wolbachia_sp_2.1	GCF_964026745.1	RefSeq	GCF_964026745.1-RS_2024_04_19	Complete Genome	1244533	1244533	2024-04-20	1273	PRJEB74840	SAMEA114449928
Wolbachia endosymbiont (group A) of Campoletis raptor			3066196	iyCamRapt1.Wolbachia_sp_1.1	GCF_964026755.1	RefSeq	GCF_964026755.1-RS_2024_04_19	Complete Genome	1416219	1416219	2024-04-20	1444	PRJEB74856	SAMEA114449956
Wolbachia endosymbiont (group A) of Chalcis sispes			3066197	iyChaSisp2.Wolbachia_sp_1.1	GCF_964026765.1	RefSeq	GCF_964026765.1-RS_2024_04_19	Complete Genome	1257686	1257686	2024-04-20	1264	PRJEB74825	SAMEA114449957
Wolbachia endosymbiont (group A) of Andrena bucephala			3066189	iyAndBuce1.Wolbachia_sp_1.1	GCF_964026775.1	RefSeq	GCF_964026775.1-RS_2024_04_19	Complete Genome	1439395	1439395	2024-04-20	1468	PRJEB74878	SAMEA114449948
Wolbachia endosymbiont (group B) of Idaea biselata			3066179	ilIdaBise2.Wolbachia_sp_2.1	GCF_964026785.1	RefSeq	GCF_964026785.1-RS_2024_04_19	Complete Genome	1782139	1782139	2024-04-20	1645	PRJEB74839	SAMEA114449938
Wolbachia endosymbiont (group B) of Yponomeuta malinellus			3066186	ilYpoRore1.Wolbachia_sp_1.1	GCF_964026795.1	RefSeq	GCF_964026795.1-RS_2024_04_19	Complete Genome	1503263	1503263	2024-04-20	1424	PRJEB74869	SAMEA114461103
Wolbachia endosymbiont (group A) of Agelastica alni			3066130	icAgeAlni6.Wolbachia_sp_1.1	GCF_964026805.1	RefSeq	GCF_964026805.1-RS_2024_04_19	Complete Genome	1479088	1479088	2024-04-20	1565	PRJEB74832	SAMEA114449879
Wolbachia endosymbiont (group A) of Andrena fulva			3066191	iyAndFulv1.Wolbachia_sp_1.1	GCF_964026815.1	RefSeq	GCF_964026815.1-RS_2024_04_19	Complete Genome	1466785	1466785	2024-04-20	1494	PRJEB74834	SAMEA114449952
Wolbachia endosymbiont (group B) of Elophila nymphaeata			3066173	ilEloNymp1.Wolbachia_sp_1.1	GCF_964026825.1	RefSeq	GCF_964026825.1-RS_2024_04_19	Complete Genome	1742200	1742200	2024-04-20	1588	PRJEB74867	SAMEA114449931
Wolbachia endosymbiont (group A) of Dendrolimus pini			3066171	ilDenPini1.Wolbachia_sp_1.1	GCF_964026835.1	RefSeq	GCF_964026835.1-RS_2024_04_19	Complete Genome	1391420	1391420	2024-04-20	1388	PRJEB74874	SAMEA114449929
Wolbachia endosymbiont (group B) of Agrotis exclamationis			3066161	ilAgrExcl1.Wolbachia_sp_1.1	GCF_964026845.1	RefSeq	GCF_964026845.1-RS_2024_04_19	Complete Genome	1499236	1499236	2024-04-20	1416	PRJEB74855	SAMEA114449918
Wolbachia endosymbiont (group A) of Agelastica alni			3066130	icAgeAlni6.Wolbachia_sp_4.1	GCF_964026855.1	RefSeq	GCF_964026855.1-RS_2024_04_19	Complete Genome	1453608	1453608	2024-04-20	1482	PRJEB74833	SAMEA114449882
Wolbachia endosymbiont (group A) of Clivina fossor			3066133	icCliFoss2.Wolbachia_sp_1.1	GCF_964026865.1	RefSeq	GCF_964026865.1-RS_2024_04_19	Complete Genome	1766692	1766692	2024-04-20	1788	PRJEB74898	SAMEA114449886
Wolbachia endosymbiont (group A) of Pherbina coryleti			3066153	idPheCory1.Wolbachia_sp_1.1	GCF_964026875.1	RefSeq	GCF_964026875.1-RS_2024_04_19	Complete Genome	1549461	1549461	2024-04-20	1543	PRJEB74831	SAMEA114449910
Wolbachia endosymbiont (group B) of Idaea biselata			3066179	ilIdaBise2.Wolbachia_sp_1.1	GCF_964026885.1	RefSeq	GCF_964026885.1-RS_2024_04_19	Complete Genome	1889456	1889456	2024-04-20	1749	PRJEB74837	SAMEA114449937
Wolbachia endosymbiont (group A) of Cephus spinipes			3077920	iyCepSpin2.Wolbachia_sp_1.1	GCF_964026895.1	RefSeq	GCF_964026895.1-RS_2024_04_19	Complete Genome	1445443	1445443	2024-04-20	1378	PRJEB74845	SAMEA115290502
Wolbachia endosymbiont (group B) of Ennomos erosarius			3066175	ilEnnEroa1.Wolbachia_sp_3.1	GCF_964026905.1	RefSeq	GCF_964026905.1-RS_2024_04_19	Complete Genome	1214654	1214654	2024-04-20	1284	PRJEB74854	SAMEA114449933
Wolbachia endosymbiont (group A) of Eristalinus aeneus			3066145	idEriAene1.Wolbachia_sp_1.1	GCF_964026915.1	RefSeq	GCF_964026915.1-RS_2024_04_19	Complete Genome	1323550	1323550	2024-04-20	1362	PRJEB74847	SAMEA114449900
Wolbachia endosymbiont (group A) of Andrena carantonica			3066190	iyAndCara2.Wolbachia_sp_2.1	GCF_964026925.1	RefSeq	GCF_964026925.1-RS_2024_04_19	Complete Genome	1447351	1447351	2024-04-20	1503	PRJEB74900	SAMEA114449951
Wolbachia endosymbiont (group A) of Cydia strobilella			3066170	ilCydStro3.Wolbachia_sp_1.1	GCF_964026935.1	RefSeq	GCF_964026935.1-RS_2024_04_19	Complete Genome	1270816	1270816	2024-04-20	1236	PRJEB74812	SAMEA114449927
Wolbachia endosymbiont (group B) of Chesias legatella			3066167	ilCheLega1.Wolbachia_sp_1.1	GCF_964026945.1	RefSeq	GCF_964026945.1-RS_2024_04_19	Complete Genome	1465951	1465951	2024-04-20	1389	PRJEB74857	SAMEA114449924
Wolbachia endosymbiont (group A) of Lasioglossum villosulum			3066202	iyLasVill1.Wolbachia_sp_1.1	GCF_964026955.1	RefSeq	GCF_964026955.1-RS_2024_04_19	Complete Genome	1435495	1435495	2024-04-20	1465	PRJEB74828	SAMEA114449964
Wolbachia endosymbiont (group A) of Volucella bombylans			3066158	idVolBomb1.Wolbachia_sp_1.1	GCF_964026965.1	RefSeq	GCF_964026965.1-RS_2024_04_19	Complete Genome	1421666	1421666	2024-04-20	1430	PRJEB74894	SAMEA114449915
Wolbachia endosymbiont (group B) of Aricia artaxerxes			3066166	ilAriArta2.Wolbachia_sp_1.1	GCF_964026975.1	RefSeq	GCF_964026975.1-RS_2024_04_19	Complete Genome	1682192	1682192	2024-04-20	1584	PRJEB74859	SAMEA114450262
Wolbachia endosymbiont (group A) of Ischnus inquisitorius			3077922	iyIscInqu1.Wolbachia_sp_1.1	GCF_964026985.1	RefSeq	GCF_964026985.1-RS_2024_04_19	Complete Genome	1369153	1369153	2024-04-20	1423	PRJEB74853	SAMEA115290505
Wolbachia endosymbiont (group A) of Brachyopa scutellaris			3066140	idBraScut1.Wolbachia_sp_1.1	GCF_964026995.1	RefSeq	GCF_964026995.1-RS_2024_04_19	Complete Genome	1456049	1456049	2024-04-20	1521	PRJEB74879	SAMEA114449894
Wolbachia endosymbiont (group A) of Oxytorus armatus			3066211	iyOxyArmt1.Wolbachia_sp_1.1	GCF_964027005.1	RefSeq	GCF_964027005.1-RS_2024_04_19	Complete Genome	1398936	1398936	2024-04-20	1385	PRJEB74838	SAMEA114449976
Wolbachia endosymbiont (group A) of Conops quadrifasciatus			3066143	idConQuad1.Wolbachia_sp_1.1	GCF_964027015.1	RefSeq	GCF_964027015.1-RS_2024_04_19	Complete Genome	1342634	1342634	2024-04-20	1380	PRJEB74902	SAMEA114449898
Wolbachia endosymbiont (group A) of Apotomis capreana			3066165	ilApoCapr1.Wolbachia_sp_1.1	GCF_964027025.1	RefSeq	GCF_964027025.1-RS_2024_04_19	Complete Genome	1341671	1341671	2024-04-20	1354	PRJEB74813	SAMEA114449923
Wolbachia endosymbiont (group B) of Phasia obesa			3066151	idPhaObes1.Wolbachia_sp_1.1	GCF_964027035.1	RefSeq	GCF_964027035.1-RS_2024_04_19	Complete Genome	1392969	1392969	2024-04-20	1311	PRJEB74870	SAMEA114449908
Wolbachia endosymbiont (group A) of Udea olivalis			3066183	ilUdeOliv2.Wolbachia_sp_2.1	GCF_964027045.1	RefSeq	GCF_964027045.1-RS_2024_04_19	Complete Genome	1626842	1626842	2024-04-20	1576	PRJEB74836	SAMEA114449943
Wolbachia endosymbiont (group A) of Nomada flava			3066205	iyNomFlav1.Wolbachia_sp_1.1	GCF_964027055.1	RefSeq	GCF_964027055.1-RS_2024_04_19	Complete Genome	1458098	1458098	2024-04-20	1540	PRJEB74884	SAMEA114449968
Wolbachia endosymbiont (group A) of Andrena carantonica			3066190	iyAndCara2.Wolbachia_sp_1.1	GCF_964027085.1	RefSeq	GCF_964027085.1-RS_2024_04_19	Complete Genome	1536524	1536524	2024-04-20	1542	PRJEB74893	SAMEA114449950
Wolbachia endosymbiont (group A) of Machimus atricapillus			3066147	idMacAtri3.Wolbachia_sp_1.1	GCF_964027095.1	RefSeq	GCF_964027095.1-RS_2024_04_19	Complete Genome	1383300	1383300	2024-04-20	1345	PRJEB74818	SAMEA114449902
Wolbachia endosymbiont (group A) of Nomada ferruginata			3066204	iyNomFerr1.Wolbachia_sp_1.1	GCF_964027105.1	RefSeq	GCF_964027105.1-RS_2024_04_19	Complete Genome	1296103	1296103	2024-04-20	1328	PRJEB74814	SAMEA114449966
Wolbachia endosymbiont (group A) of Myopa testacea			3066148	idMyoTest1.Wolbachia_sp_1.1	GCF_964027115.1	RefSeq	GCF_964027115.1-RS_2024_04_19	Complete Genome	1255779	1255779	2024-04-20	1256	PRJEB74880	SAMEA114449903
Wolbachia endosymbiont (group A) of Agelastica alni			3066130	icAgeAlni6.Wolbachia_sp_5.1	GCF_964027125.1	RefSeq	GCF_964027125.1-RS_2024_04_19	Complete Genome	1710672	1710672	2024-04-20	1628	PRJEB74888	SAMEA114449883
Wolbachia endosymbiont (group B) of Melanargia galathea			2954029	ilMelGala2.Wolbachia_sp_1.1	GCF_964030625.1	RefSeq	GCF_964030625.1-RS_2024_04_24	Complete Genome	1550695	1550695	2024-04-25	1437	PRJEB75087	SAMEA114457939
